순번,용어,분야,영문,설명
155,CAS,District Heating,Compressor Air System,압축공기계통
156,CATV,District Heating,Community Antenna Television,유선 TV
157,CB,District Heating,Circuit Breaker,회로차단기
158,CB,District Heating,Convertible Bond,전환사채
159,CBD,District Heating,Continuous Blow Down,연속배출수
160,CBP,District Heating,Cost Based Pool,변동비반영시장
161,CC,District Heating,Cation Conductivity,양이온전도도
162,C/C,District Heating,Combined Cycle,복합사이클
163,CCO,District Heating,Commencement Of Commercial Operation,상업운전개시
164,CCPP,District Heating,Combined Cycle Power Plant,복합발전소
165,CCR,District Heating,Central Control Room,중앙제어실
166,CCR,District Heating,Contract Change Request,계약변경요구서
167,CCS,District Heating,Combustion Control System,연소제어계통
168,CCS,District Heating,Construction Contract Schedule,시공계약공정표
169,CCS,District Heating,Construction Control Schedule,시공관리기준공정표
170,CCS,District Heating,Cost Control System,공사비관리체계
171,CCT,District Heating,Compensate Current Transformer,보상변류기
172,CCTV,District Heating,Closed Circuit Television,폐쇄회로 TV
173,CCW,District Heating,Closed Cooling Water,소내보조냉각수
174,CCW,District Heating,Counter Clockwise,반시계방향
175,CCWP,District Heating,Closed Cooling Water Pump,보조냉각수펌프
176,CD,District Heating,Certificate of Deposit,양도성예금증서
177,CDM,District Heating,Clean Development Mechanism,청정개발체제
178,CDP,District Heating,Career Development Program,능력개발프로그램
179,CDS,District Heating,Contract Delivery Schedule,계약상 기자재공급일정
180,CE,District Heating,Conductivity Element,전도도 검출장치
181,CE,District Heating,Collecting Electrode,집진기의 집진극
182,CEGB,District Heating,Central Electricity Generating Board,영국중앙발전국
183,CEP,District Heating,"Condensate Extraction Pump(=COP, MCP)",복수펌프
184,CEP,District Heating,Condenser End Point,복수기종단점(증기팽창선)
185,Cer.,District Heating,Ceramic,세라믹
186,CES,District Heating,Community Energy System,소형열병합발전시스템
187,CF,District Heating,Cost And Freight,운임포함 물품가격
188,CF.,District Heating,Clarifier,응집조
189,CFBC,District Heating,Circulating Fluidzing Bed Combustion,순환유동층연소
190,CFM,District Heating,Cubic Feet Per Minute,체적유량단위(Ft
191,,District Heating,,/min)
192,CFO,District Heating,Cash From Operation,영업활동으로 인한 현금흐름
193,CFO,District Heating,Chief Financial Officer,최고재무관리자
194,CFS,District Heating,Critical Success Factor,핵심성공요인
195,CGCC,District Heating,Coal Gasification Combine Cycle,석탄가스화복합사이클
196,CGS,District Heating,Centimeter Gram System,CGS 단위계
197,CH Ratio,District Heating,Carbon Hydrogen Ratio,탄소/수소비율
198,CHP,District Heating,Combined Heat & Power Plant,열병합발전소
199,CHU,District Heating,Centigrade Heat Unit,열량의 단위
200,C/I,District Heating,Cut In,기동
201,CI,District Heating,Combustion Inspection,가스터빈 연소실점검
202,CI,District Heating,Corporate Identity,기업이미지 통합
203,CIC,District Heating,Certified Informatization Company,정보화우수기업
204,CIF,District Heating,Cost Insurance & Freight,보험료포함 물품가격
205,CIMS,District Heating,Construction Integrated Management System,건성정보관리시스템
206,CIO,District Heating,Chief Information Officer,정보화담당임원
207,CIR,District Heating,Critical Items Report,중요문제점보고서
208,Cir.,District Heating,Circulating,순환의
209,CIS,District Heating,Contract Information Sheet,계약정보지
210,CIS,District Heating,Contruction Intermediate Schedule,건설공정표
211,CIS,District Heating,Chemical Injection System,화학약품 주입계통
212,CIU,District Heating,Communication Interface Unit,통신중계장치
213,CKO,District Heating,Chief Knowledge Officer,지식경영총괄책임자
214,CL,District Heating,Center Line,중심선
215,CLE ,District Heating,Cycle Life Expenditure,싸이클 수명소명
216,CLG,District Heating,Cooling,냉각
217,CLR,District Heating,Cooler,냉각기
218,CM,District Heating,Construction Management,건설(시공)관리
219,CM,District Heating,Contribution Margin Ratio,공헌이익율
220,CMA,District Heating,Cash Management Account,어음관리계좌
221,CMS,District Heating,Cubic Meter Per Second,유량단위(㎥/sec)
222,CO,District Heating,Control Operator,중앙제어실 근무자
223,CO,District Heating,Controlling,관리회계
224,C/O,District Heating,Commercial Operation,상업운전(준공시점)
225,C/O,District Heating,Certificate Of Origin,원산지증명서
226,COD,District Heating,Chemical Oxygen Demand,화학적 산소요구량
227,Coef.,District Heating,Coefficient,계수
228,COFP,District Heating,Constrained Off Price,제약감소정산가격
229,Co-Gen,District Heating,Co-generation Plant,소형열병합발전시설
230,Coll.,District Heating,Collector,집전자(集電子)
231,COM,District Heating,Coal & Oil Mixture,"석탄, 기름 혼합연료"
232,COMP.,District Heating,Compressor,압축기
233,COMPT.,District Heating,Compartment,"실, 격벽"
234,CONC.,District Heating,Concentrated,농축된
235,COND.,District Heating,Condenser,복수기
236,Conn.,District Heating,Connection,연결
237,CONV.,District Heating,Conveyor,운반장치
238,COP,District Heating,"Condensate Pump(=CEP, MCP)",복수펌프
239,COP,District Heating,Community of Practice,지식소그룹
240,CoP,District Heating,Community Of Practice,지식공동체
241,COS,District Heating,Cut Out Switch,단로스위치
242,COS,District Heating,Condition Of Service,공급조건
243,CP ,District Heating,Convection Pass,대류열전달 통로
244,CP ,District Heating,Control Panel ,제어반
245,CP,District Heating,Capacity Payment,용량요금
246,CP,District Heating,Commercial Paper,기업어음
247,CPD,District Heating,Capacitor Potential Device,축전지의 일종
248,CPLG,District Heating,Coupling,커플링
249,CPM,District Heating,Critical Path Method,최상경로분석법
250,CPP,District Heating,Condensate Polishing Plant,복수탈염장치
251,CPU,District Heating,Central Processing Unit,중앙처리장치
252,CR,District Heating,Collector Ring,집전환(集電環)
253,CR,District Heating,Capability Rating,운전가능정격
254,CRH ,District Heating,Cold Reheater,저온재열기
255,CRM,District Heating,Customer Relationship Management,고객관계경영
256,CRT,District Heating,Cathode Ray Tube,단말기
257,CRV,District Heating,Combined Reheat Valve,재열증기차단 및 제어밸브
258,CS,District Heating,Code & Standard,규격 및 기준
259,CS,District Heating,Control Switch,제어스위치
260,CS,District Heating,Customer Satisfaction,고객만족
261,CSF,District Heating,Critical Success Factor ,핵심성공요인
262,CSI,District Heating,Consumer Sentiment Index,고객만족지수
263,CSM,District Heating,Customer Satisfaction Management,고객만족경영
264,CSO,District Heating,Customer Satisfaction Officer,고객만족경영자
265,CSS,District Heating,Construction Summary Schedule,시공종합공정표
266,CSG,District Heating,Casing,외함
267,CSR,District Heating,Construction Status Report,건설현황보고
268,CSR,District Heating,Commissioning Status Report,시운전현황보고
269,CST,District Heating,Centi Stoke,점도의 단위
270,CT,District Heating,Current Transformer,계기용변류기
271,CTCS,District Heating,Condenser Tube Cleaning System,복수기관세정장치
272,CTP,District Heating,Condensate Transfer Pump,복수이송펌프
273,CV,District Heating,Control Valve,제어밸브
274,CVCF,District Heating,Constant Voltage Constant Frequency,정전압 정주파수 장치
275,CVP,District Heating,Condenser Vacuum Pump,복수기 진공펌프
276,CW,District Heating,Cooling Water,냉각수
277,CW,District Heating,Circulation Water,순환수
278,CW,District Heating,Clock Wise,시계방향
279,CWM,District Heating,Coal & Water Mixture,"석탄, 물 혼합연료"
280,CWP ,District Heating,Circulating Water Pump,순환수펌프
281,CWT,District Heating,Combined Water Treatment,산소주입 복합물처리
282,DAS,District Heating,Data Acquisition System,자료취득장치
283,DB,District Heating,Duplex Board,배전반
284,DB,District Heating,Defined Benefit,확정급여형 연금제도
285,dB(A),District Heating,Decibel Accoustic,소음의단위(음향)
286,dB(V),District Heating,Decibel Vibration,소음의단위(진동)
287,DBMS,District Heating,Data Base Management System,데이타베이스관리시스템
288,DBTT,District Heating,Ductile Brittle Transition Temperature,연성/취성 천이온도
289,DC,District Heating,Direct Current,직류
290,DC,District Heating,Defined Contribution,확정기여형 연금제도
291,DCA,District Heating,Drain Cooler & Approach,열교환기 드레인온도차
292,DCF,District Heating,Discounted Cash Flow Method,현금할인법
293,DCM,District Heating,Digital Control & Monitoring System,디지탈측정 및 제어장치
294,DCMR,District Heating,Down-comer,강수관(降水管)
295,DCN,District Heating,Design Change Note,설계변경지시서
296,DCR,District Heating,Design Change Request,설계변경요청서
297,DCS,District Heating,Distributed Control System,분산제어시스템
298,DDC,District Heating,Distributed Digital Control System,분산디지탈제어시스템
299,DDV,District Heating,Disk Dump Valve,급속차단밸브
300,DE,District Heating,Diesel Engine,디젤엔진
301,DE,District Heating,Drive End,구동장치측 단부
302,DE,District Heating,Discharge Electrode,집진기의 방전극
303,DEA.,District Heating,Deaerator,탈기기
304,DEHC,District Heating,Digital Electro Hydraulic Control,디지털 전자유압제어장치
305,Demi-WTR,District Heating,Demineralized Water,순수
306,DESH,District Heating,De-Superheater,과열저감기
307,Dev.,District Heating,Deviation,편차
308,D/G,District Heating,Diesel Generator,디젤발전기
309,DH,District Heating,District Heating,지역난방
310,Dia.,District Heating,Diameter,"지름, 직경"
311,DID,District Heating,Direct Inward Dialing,내신직접착신전화
312,Diff.,District Heating,Differential,"차이, 차동(差動)"
313,Dim.,District Heating,Dimension,"규격, 칫수"
314,DIN,District Heating,Deutsches Industrie Normen,독일공업규격
315,Disch.,District Heating,Discharge,"토출, 출구"
316,D/L,District Heating,Distribution Line,배전선로
317,D/M,District Heating,Drum,드럼
318,DM,District Heating,Demand Meter,최대수요전력계
319,DNS,District Heating,Domain Name System,도메인명 변경시스템
320,DO,District Heating,DH Operator,열공급 설비 운영요원
321,DO,District Heating,Diesel Oil,경유
322,DO,District Heating,Dissolved Oxygen,용존산소
323,Doc.,District Heating,Documents,문서(자료)
324,DP,District Heating,Damper,댐퍼
325,DPS,District Heating,Data Processing System,데이터 처리장치
326,DRN,District Heating,Drain,배출수
327,DRT,District Heating,Dynamic Responsibility Test,동특성시험
328,DS,District Heating,Disconnecting Switch,단로기
329,DS,District Heating,Detail Schedule,시행(상세)공정표
330,DSCR,District Heating,Debt Service Coverage Ratio,부채상환계수
331,DSM,District Heating,Demand Side Management,수요관리
332,DSS,District Heating,Daily Start & Stop,발전소 일일기동정지
333,DSS,District Heating,Decision Support System,의사결정지원시스템
334,DTP,District Heating,Drain Transfer Pump,응축수 이송펌프
335,DU,District Heating,Activity Duration,공기(소요기간)
336,DW,District Heating,Dead Weight,사(死)하중
337,DW,District Heating,Demi Water,순수(純水)
338,DWG,District Heating,Drawing,도면
339,DWS,District Heating,Detail Work Schedule,상세작업공정표
340,Ea.,District Heating,Each,개(個)
341,EA,District Heating,Enterprise Architecture,전사적 통합구성
342,EAI,District Heating,Enterprise Application Integration,기업 업무통합
343,EaR,District Heating,Earnings at Risk,위험노출이익
344,EBIT,District Heating,Earning Before Interest and tax to sales,이자 및 법인세차감전 순이익
345,EBITDA,District Heating,"Earning Before Interest, Depreciation and Amortization","이자비용, 법인세, 감가상각비를 공제하기 이전의 이익"
346,EBOP,District Heating,Emergency Bearing Oil Pump,비상용베어링윤활펌프
347,EC,District Heating,Electronic Commerce,전자상거래
348,Ecc.,District Heating,Eccentricity,편신(偏心)
349,ECO.,District Heating,Economizer,절탄기
350,ECP,District Heating,Engineering Calculation Progress,설계 계산진행표
351,ECN,District Heating,Engineering Change Notice,설계변경지시서
352,ECR,District Heating,Engineering Change Request,설계변경 요청서
353,ECT,District Heating,Eddy Current Test,와류탐상시험(비파괴검사)
354,EDI,District Heating,Electronic Data Interchange,전자문서교환
355,EDM,District Heating,Electronic Document Management,전자문서관리
356,EDP,District Heating,Engineering Drawing Progress,설계도면 진행표
357,EDS,District Heating,Engineering Delivery Schedule,기술제공 일정표
358,EFCC,District Heating,Externally Fired Combined Cycle,외부연소사이클
359,EFF.,District Heating,Efficiency,효율
360,EFTS,District Heating,Electronic Funds Transfer System,전자식자금이동시스템
361,EHC,District Heating,Electro Hydraulic Governor Control,전자유압식 제어장치
362,EHC,District Heating,Electro Hydraulic Converter,전자유압변환장치
363,EHS,District Heating,Evaporating Heating Surface,증발전열면
364,EHT,District Heating,Electric Heat Tracing,전기가열에의한 보온
365,EIP,District Heating,Enterprise Information Portal,기업정보포탈
366,EIS,District Heating,Executive Information System,중역정보시스템
367,EIS,District Heating,Environment Impact Studies,환경영향평가
368,EL.,District Heating,Elevation,높이
369,ELB,District Heating,Earth Leakage Breaker,누전차단기
370,ELD,District Heating,Economic Load Dispatching,경제급전
371,ELD,District Heating,Equity Linked Deposit,주가지수연동예금상품
372,ELDC,District Heating,Equivalent Load Duration Curve,등가 부하 유지곡선
373,ELEP,District Heating,Expansion Line End Point,터빈 증기팽창선 종단점
374,ELS,District Heating,Equity Linked Securities,주가지수연동상품
375,ELV,District Heating,Electrical Lockout Valve,전기작동 폐쇄밸브
376,EMS,District Heating,Energy Management System,에너지관리설비
377,ENG.,District Heating,Engine,"기관, 엔진"
378,EOCR,District Heating,Electronic Over-current Relay ,전자식모터보호계전기
379,EOP,District Heating,Emergency Oil Pump,비상오일펌프
380,EOP,District Heating,Emergency Operating Procedure,비상운전 절차서
381,EOS,District Heating,Emergency Overspeed System,비상과속도 보호장치
382,EP ,District Heating,Electrostatic Precipitator,전기집진기
